Junctions	ADRENALGLAND1	ADRENALGLAND2	COLON1	COLON2	CORTEX1	CORTEX2	DUODENUM1	DUODENUM2	ESOPHAGUS1	ESOPHAGUS2	HEART1	HEART2	KIDNEY1	KIDNEY2	LIVER1	LIVER2	LUNG1	LUNG2	OVARY1	OVARY2	PANCREAS1	PANCREAS2	SKIN1	SKIN2	SPLEEN_1	SPLEEN_2	STOMACH1	STOMACH2	TESTIS1	TESTIS2	THYROIDGLAND1	THYROIDGLAND2
CGATENSMUST00000080335JUNC00194	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CGATENSMUST00000106353JUNC00196	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	2	0	1
CGATENSMUST00000106353JUNC00197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000081726JUNC00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CGATENSMUST00000067150JUNC00203	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000164207JUNC00204	0	0	0	1	13	10	3	1	7	4	7	4	8	10	1	2	2	2	0	0	3	10	13	9	0	0	3	3	2	4	0	0
CGATENSMUST00000049255JUNC00209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000047865JUNC00212	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000031435JUNC00215	0	0	0	3	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
CGATENSMUST00000202994JUNC00217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CGATENSMUST00000187182JUNC00221	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000187182JUNC00222	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000103021JUNC00225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGATENSMUST00000046948JUNC00231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CGATENSMUST00000110963JUNC00236	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
CGATENSMUST00000111623JUNC00237	1	0	4	1	2	1	1	1	2	5	2	5	2	4	0	1	8	5	21	22	0	1	4	2	4	8	2	4	0	0	5	6
CGATENSMUST00000048180JUNC00240	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CGATENSMUST00000073837JUNC00244	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0
CGATENSMUST00000073837JUNC00245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000026204JUNC00247	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000113878JUNC00248	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000035201JUNC00251	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
CGATENSCAFT00000020518JUNC00252	4	5	4	8	44	40	2	0	3	2	3	2	4	2	4	0	9	9	3	5	6	3	6	1	16	16	5	5	2	2	0	0
CGATENSMUST00000088233JUNC00253	1	1	2	2	9	17	0	0	2	1	2	1	8	8	1	0	15	9	17	14	1	0	2	1	2	11	4	0	2	1	5	11
CGATENSMUST00000160800JUNC00254	0	0	3	0	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000025406JUNC00264	0	0	3	1	6	5	1	1	1	0	1	0	3	3	0	0	4	5	3	3	0	0	0	2	2	2	1	1	1	2	1	0
CGATENSCAFT00000025406JUNC00265	0	0	2	0	0	0	0	0	1	1	1	1	1	3	0	0	3	3	1	2	0	1	0	0	0	2	1	1	1	1	0	0
CGATENSCAFT00000025406JUNC00266	0	0	1	1	1	1	1	1	0	0	0	0	4	1	2	2	1	1	0	0	0	0	0	1	5	4	3	1	0	0	0	0
CGATENSCAFT00000025406JUNC00267	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000106736JUNC00268	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	5	1	2	1
