Junctions	Brain_13	Brain_26	Brain_39	Colon_20	Colon_33	Colon_7	Duodenum_17	Duodenum_30	Duodenum_4	Esophagus_12	Esophagus_25	Esophagus_38	Heart_24	Heart_37	Ileum_19	Ileum_32	Ileum_6	Jejunum_18	Jejunum_31	Jejunum_5	Kidney_21	Kidney_34	Kidney_8	Liver_15	Liver_28	Liver_2	Muscle_22	Muscle_35	Muscle_9	Pancreas_14	Pancreas_1	Pancreas_27	Stomach_16	Stomach_29	Stomach_3	Thymus_10	Thymus_23	Thymus_36
CGAMUSTENST00000393923JUNC00688	0	1	1	1	2	1	0	1	1	1	1	6	0	2	1	0	0	1	0	1	1	3	6	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0
CGAMUSTENST00000466396JUNC00689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000358713JUNC00690	0	1	0	0	2	1	0	0	0	1	1	1	0	0	1	1	1	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CGAMUSTENST00000394243JUNC00692	0	1	1	3	11	9	6	7	16	2	2	7	0	1	7	0	25	16	12	32	1	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0
CGAMUSTENST00000405015JUNC00699	2	1	0	2	4	4	4	1	0	3	2	6	8	19	0	0	0	2	2	2	3	1	1	1	3	1	2	3	3	1	0	0	1	2	0	0	1	1
CGAMUSTENST00000405015JUNC00700	1	0	0	0	2	0	1	2	1	2	2	1	11	10	1	1	0	1	1	1	0	0	2	0	0	0	2	2	2	0	0	0	2	1	0	3	0	4
CGAMUSTENST00000405015JUNC00701	2	2	5	0	2	1	1	0	0	1	2	1	4	9	1	0	1	1	2	2	0	1	1	1	0	0	2	1	0	0	0	0	0	0	1	2	1	1
CGAMUSTENST00000187397JUNC00707	5	5	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	13	19
CGAMUSTENST00000327154JUNC00710	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000025396JUNC00713	7	2	4	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000025396JUNC00714	4	5	10	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000543210JUNC00719	4	2	3	0	0	0	0	4	1	2	0	0	0	1	0	3	4	2	4	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	1	2
CGAMUSTENST00000258187JUNC00731	83	111	136	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CGAMUSTENST00000258187JUNC00732	94	97	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000394282JUNC00733	55	89	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000452339JUNC00734	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CGAMUSTENST00000367895JUNC00735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0
