Junctions	ADRENALGLAND_BEMD	BLOOD_BEGL	BRAIN_BEGL	CEREBELLUM_BESH	CEREBELLUM_GSMD	CORTEX_BESH	GUTCOLON_BEMD	H01_GRET	H01_LABR	H06_PODL	HAIRFOLLICULE_LABR	HEART_BEGL	JEJUNUM_LABR	KERATINOCYTE_BEGL	KIDNEY_BEGL	LIVER_BEGL	LUNG_BEGL	MAMMARYGLAND_GSMD	MUSCLE_BEGL	NOSE01_LABR	NOSE02_LABR	NOSE03_LABR	OLFBULB_GSMD	OVARY_BEGL	PANCREAS_BESH	RETINA_BOCL	SKIN_BEGL	SKIN_GSMD	SPINALCORD_GSMD	SPLEEN_BESH	TESTIS_BEGL	THYMUS_SLKI
CGACAFTENST00000378166JUNC01888	0	0	59	16	18	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	34	0	0	0	0	1	4	0	0	0
CGACAFTENST00000378166JUNC01889	0	0	59	19	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	1	2	0	0	0
CGACAFTENSMUST00000106845JUNC01890	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
CGACAFTENST00000479780JUNC01896	20	7	10	11	21	7	13	12	5	11	2	3	11	2	3	1	15	40	3	6	1	8	0	8	2	10	11	4	6	18	13	19
CGACAFTENSMUST00000066824JUNC01904	0	0	11	5	0	5	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	2	0	0	4	0	0	1	0	0	0
CGACAFTENSMUST00000072481JUNC01905	2	0	46	15	5	14	0	1	0	0	1	2	0	0	44	8	15	1	3	0	0	4	10	9	0	9	0	1	6	1	1	2
CGACAFTENST00000501704JUNC01907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000110888JUNC01908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000437425JUNC01912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000428696JUNC01913	0	0	70	63	75	61	0	0	2	2	0	0	1	0	0	0	2	2	1	1	0	0	72	1	0	0	6	0	42	2	2	1
CGACAFTENST00000428696JUNC01914	1	0	24	62	82	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	1	6	0	0	0
CGACAFTENST00000428696JUNC01915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000542729JUNC01918	0	0	1	2	2	0	2	2	2	0	1	0	0	2	0	0	0	0	0	2	5	2	16	0	0	2	3	13	17	1	5	2
CGACAFTENST00000543033JUNC01919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000071268JUNC01920	25	1	28	38	31	27	14	25	12	8	10	7	14	18	5	1	20	17	5	21	12	17	24	4	3	13	22	28	22	18	8	28
CGACAFTENST00000368530JUNC01925	0	2	5	0	0	1	0	1	338	34	0	43	0	1	0	0	1	0	4615	0	0	0	4	0	0	1	170	0	12	1	11	0
CGACAFTENST00000355630JUNC01927	18	22	25	17	15	20	58	51	20	19	46	4	29	85	8	1	15	44	5	31	25	32	38	18	6	30	38	49	17	50	38	86
CGACAFTENST00000402042JUNC01928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000171023JUNC01930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000406549JUNC01932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000199940JUNC01933	1	0	69	40	18	36	9	13	69	3	35	4	2	35	10	1	35	20	1	143	51	125	66	12	9	10	25	54	16	11	81	8
CGACAFTENST00000199940JUNC01934	3	0	2	5	3	11	7	14	57	4	62	3	0	40	5	2	15	40	0	199	79	199	4	22	12	13	44	61	11	12	6	3
CGACAFTENST00000199940JUNC01935	4	0	4	6	5	5	6	19	45	4	46	2	2	34	15	2	13	24	0	148	72	131	4	20	8	6	47	65	11	6	2	4
CGACAFTENST00000425013JUNC01939	21	9	26	29	24	22	20	26	15	8	15	7	3	20	14	3	13	14	4	39	5	33	21	17	3	27	12	7	12	21	22	28
CGACAFTENST00000507544JUNC01940	36	8	15	26	18	17	26	30	28	28	20	12	29	73	18	7	14	11	9	53	26	49	22	25	7	29	50	36	33	27	24	23
CGACAFTENSMUST00000044454JUNC01941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000044443JUNC01948	19	0	239	573	424	274	14	23	8	15	17	5	2	10	7	2	14	46	7	41	27	36	153	27	1	98	31	8	246	34	13	20
CGACAFTENST00000259486JUNC01949	46	0	0	12	0	2	0	7	2	0	2	1	1	3	0	1	6	1	1	2	1	3	0	2	0	0	2	0	7	3	1	4
CGACAFTENST00000259486JUNC01950	41	0	0	5	0	7	1	12	0	2	0	0	2	1	0	0	8	6	0	2	2	5	0	4	0	3	6	0	8	8	3	3
CGACAFTENST00000259486JUNC01951	8524	2	26	69	24	88	37	173	36	51	93	6	164	1	7	33	120	168	11	38	53	32	13	78	13	155	93	29	96	239	4	75
CGACAFTENSMUST00000173462JUNC01952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000261509JUNC01953	0	0	3	1	0	1	0	0	10	1	0	207	0	1	0	0	0	2	79	0	7	3	2	0	0	0	2	3	2	0	1	0
CGACAFTENST00000505667JUNC01954	1	0	26	32	9	44	1	0	10	1	1	131	0	2	0	1	0	0	30	0	0	1	10	0	0	1	5	0	4	2	0	0
CGACAFTENST00000343533JUNC01955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000109444JUNC01956	15	36	13	3	2	5	52	23	34	31	33	3	33	46	65	18	41	45	3	225	101	236	16	14	15	25	35	39	16	36	156	64
CGACAFTENST00000525159JUNC01957	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000527938JUNC01958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000042084JUNC01963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000022170JUNC01964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000424564JUNC01965	2	0	294	74	55	105	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	57	4	0	28	0	0	37	4	2	0
CGACAFTENST00000444354JUNC01966	2	1	47	32	39	73	10	3	5	4	2	1	8	5	2	2	1	3	0	2	2	1	112	2	0	7	10	3	27	12	0	6
CGACAFTENST00000552738JUNC01967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000069451JUNC01972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000069451JUNC01973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000382582JUNC01974	1	0	583	564	77	361	0	0	3	0	1	0	0	1	0	0	0	2	0	2	0	3	139	0	0	2	0	0	2599	0	0	0
CGACAFTENST00000382582JUNC01975	0	2	1609	986	160	594	2	1	1	2	1	0	1	0	0	1	0	3	1	3	1	7	236	0	0	3	2	0	4659	1	0	4
CGACAFTENSMUST00000080658JUNC01976	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
CGACAFTENST00000355282JUNC01977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000420739JUNC01980	0	0	476	492	39	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	1412	0	0	0
CGACAFTENST00000311042JUNC01981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000311042JUNC01982	0	0	234	268	21	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	768	0	0	1
