junctions_mm	sum_mm	junctions_hs	sum_hs	junctions_clf	sum_clf
				CGACAFTENST00000454077JUNC00365	628
				CGACAFTENST00000454077JUNC00366	2021
				CGACAFTENST00000313478JUNC00367	541
				CGACAFTENST00000392020JUNC00368	493
				CGACAFTENSMUST00000113190JUNC00370	180
				CGACAFTENSMUST00000113190JUNC00371	183
				CGACAFTENST00000378166JUNC00372	158
				CGACAFTENST00000378166JUNC00373	149
				CGACAFTENST00000368406JUNC00375	1
				CGACAFTENST00000469404JUNC00376	677
				CGACAFTENST00000371039JUNC00377	136
				CGACAFTENST00000371039JUNC00378	69
				CGACAFTENST00000371039JUNC00379	145
				CGACAFTENST00000371039JUNC00380	89
				CGACAFTENST00000371039JUNC00381	16
				CGACAFTENSMUST00000066824JUNC00382	32
				CGACAFTENSMUST00000072481JUNC00383	200
				CGACAFTENSMUST00000071268JUNC00385	526
				CGACAFTENST00000368533JUNC00386	15792
				CGACAFTENST00000368533JUNC00387	2399
				CGACAFTENST00000328159JUNC00388	336
				CGACAFTENST00000368530JUNC00390	5240
				CGACAFTENST00000611659JUNC00391	39
				CGACAFTENST00000425013JUNC00393	540
				CGACAFTENST00000372554JUNC00394	1103
				CGACAFTENST00000372554JUNC00395	898
				CGACAFTENST00000372554JUNC00396	1201
				CGACAFTENST00000372554JUNC00397	1520
				CGACAFTENSMUST00000113620JUNC00398	437
				CGACAFTENST00000373069JUNC00399	341
				CGACAFTENST00000373069JUNC00400	412
				CGACAFTENST00000373066JUNC00401	215
				CGACAFTENST00000373064JUNC00402	1005
				CGACAFTENST00000444354JUNC00403	424
				CGACAFTENST00000319770JUNC00404	2183
				CGACAFTENST00000355772JUNC00405	19
				CGACAFTENSMUST00000112428JUNC00406	530
				CGACAFTENST00000435881JUNC00408	5683
				CGACAFTENST00000346833JUNC00409	1928
				CGACAFTENST00000621914JUNC00411	4570
				CGACAFTENST00000343315JUNC00412	184
				CGACAFTENST00000266732JUNC00413	954
				CGACAFTENST00000393053JUNC00414	789
