sum	species
385	hs
238	hs
244	hs
539	hs
147	hs
12	hs
12	hs
26	hs
270	hs
543	hs
429	hs
262	hs
85	hs
481	hs
120	hs
683	hs
407	hs
76	hs
332	hs
8	hs
893	hs
989	hs
786	hs
42	hs
50	hs
6	hs
19	hs
51	hs
35	hs
38	hs
27	hs
29	hs
1059	hs
985	hs
690	hs
484	hs
733	hs
893	hs
1	hs
261	hs
286	hs
264	hs
12	hs
256	hs
352	hs
436	hs
401	hs
398	hs
335	hs
190	hs
294	hs
339	hs
304	hs
332	hs
313	hs
336	hs
353	hs
508	hs
262	hs
248	hs
295	hs
246	hs
131	hs
219	hs
109	hs
247	hs
986	hs
934	hs
877	hs
602	hs
62	hs
103	hs
881	hs
442	hs
437	hs
929	hs
529	hs
740	hs
634	hs
423	hs
369	hs
12	hs
749	hs
767	hs
763	hs
961	hs
921	hs
763	hs
366	hs
752	hs
933	hs
542	hs
1121	hs
1277	hs
1083	hs
1103	hs
3	hs
231	hs
303	hs
360	hs
462	hs
412	hs
493	hs
418	hs
503	hs
517	hs
442	hs
532	hs
503	hs
492	hs
457	hs
343	hs
411	hs
508	hs
337	hs
347	hs
556	hs
489	hs
527	hs
554	hs
755	hs
567	hs
10	hs
10	hs
114	hs
17	hs
15	hs
252	hs
772	hs
945	hs
822	hs
924	hs
986	hs
1031	hs
1014	hs
889	hs
1085	hs
949	hs
1006	hs
969	hs
1029	hs
47	hs
1300	hs
1218	hs
1064	hs
1035	hs
961	hs
1228	hs
1072	hs
1111	hs
1392	hs
1205	hs
1280	hs
1293	hs
908	hs
667	hs
135	hs
78	hs
83	hs
17	hs
145	hs
222	hs
229	hs
147	hs
201	hs
219	hs
205	hs
68	hs
241	hs
275	hs
257	hs
323	hs
318	hs
283	hs
440	hs
313	hs
389	hs
318	hs
313	hs
374	hs
367	hs
318	hs
363	hs
432	hs
387	hs
550	hs
433	hs
377	hs
261	hs
358	hs
365	hs
317	hs
394	hs
378	hs
354	hs
395	hs
507	hs
525	hs
491	hs
490	hs
459	hs
454	hs
558	hs
637	hs
652	hs
690	hs
119	hs
198	hs
4024	hs
